ID,Restaurant_latitude,Restaurant_longitude,Delivery_location_latitude,Delivery_location_longitude,Weather_conditions_Cloudy,Weather_conditions_Sunny,Weather_conditions_Windy,Weather_conditions_Stormy,Weather_conditions_Fog,Weather_conditions_Sandstorms,Weather_conditions_NaN,Road_traffic_density_Low,Road_traffic_density_Medium,Road_traffic_density_Jam,Road_traffic_density_High,Road_traffic_density_NaN,Vehicle_condition,Type_of_vehicle_motorcycle,Type_of_vehicle_scooter,Type_of_vehicle_electric_scooter,Type_of_vehicle_bicycle,multiple_deliveries,Festival_No,Festival_Yes,Festival_NaN
0x84b8,23.333017,85.317200,23.363017,85.347200,1,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,1.000000,1,0,0
0x5cc8,22.751234,75.889490,22.841234,75.979490,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0.000000,1,0,0
0x7bdf,18.53408,73.89852,18.66408,74.02852,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1.00000,1,0,0
0x60f4,26.956431,75.776649,27.046431,75.866649,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1.000000,1,0,0
0x9cf9,22.761226,75.887522,22.771226,75.897522,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0.000000,1,0,0
0x4909,22.310526,73.170937,22.390526,73.250937,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1.000000,1,0,0
0x95e5,12.975377,77.696664,12.995377,77.716664,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1.000000,1,0,0
0x1e44,12.299524,76.642620,12.429524,76.772620,0,0,1,0,0,0,0,0,0,1,0,0,1,1,0,0,0,1.000000,1,0,0
0xba98,19.207222,72.972281,19.287222,73.052281,0,0,0,0,1,0,0,0,0,1,0,0,1,1,0,0,0,1.000000,1,0,0
0x832a,12.337978,76.616792,12.447978,76.726792,0,0,0,0,0,1,0,0,1,0,0,0,2,0,1,0,0,2.000000,1,0,0
0x8bba,22.310526,73.170937,22.350526,73.210937,0,1,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,1.000000,1,0,0
0x37d2,12.934365,77.616155,12.954365,77.636155,0,0,0,0,0,1,0,1,0,0,0,0,2,0,1,0,0,1.000000,1,0,0
0x7d26,11.010375,76.952950,11.140375,77.082950,0,0,0,0,0,1,0,0,0,1,0,0,1,0,1,0,0,0.000000,1,0,0
0x7959,11.001852,76.976268,11.021852,76.996268,1,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,1.000000,1,0,0
0xae5e,22.651847,75.881991,22.701847,75.931991,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0.000000,1,0,0
0x4241,0.00,0.00,0.04,0.04,0,0,0,0,0,0,1,0,0,0,0,1,3,0,1,0,0,1.00,1,0,0
0xbad2,11.025083,77.015393,11.065083,77.055393,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0.000000,1,0,0
0x3c9d,26.891191,75.802083,26.901191,75.812083,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1.000000,1,0,0
0x5743,12.980410,77.640489,13.070410,77.730489,0,1,0,0,0,0,0,0,0,1,0,0,2,0,1,0,0,1.000000,1,0,0
0x48c0,19.254567,72.848923,19.314567,72.908923,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1.000000,1,0,0
0xaf23,18.516216,73.842527,18.566216,73.892527,1,0,0,0,0,0,0,0,1,0,0,0,2,0,1,0,0,0.000000,1,0,0
0x815e,22.761226,75.887522,22.801226,75.927522,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0.000000,1,0,0
0x8baf,19.121999,72.908493,19.141999,72.928493,0,0,0,0,1,0,0,1,0,0,0,0,2,0,0,1,0,1.000000,1,0,0
0xd4cd,9.966783,76.242981,9.976783,76.252981,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1.000000,1,0,0
0xb2d1,21.149569,72.772697,21.179569,72.802697,0,0,0,0,1,0,0,1,0,0,0,0,1,0,1,0,0,1.000000,1,0,0
0x54e3,12.906229,77.596791,12.916229,77.606791,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,1.000000,1,0,0
0xad45,13.086438,80.220672,13.196438,80.330672,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0.000000,1,0,0
0xa18d,11.010375,76.952950,11.060375,77.002950,0,0,1,0,0,0,0,0,0,1,0,0,1,0,1,0,0,1.000000,1,0,0
0x43f5,17.428294,78.404423,17.558294,78.534423,0,0,0,0,1,0,0,0,0,1,0,0,2,0,0,1,0,1.000000,1,0,0
